date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:48	67/67	U--MCZ	200	updated ('OK')	text/plain	date:Tue,%2025%20Jul%202017%2014:05:48%20GMT	https://sites.google.com/robots.txt		(from )
10:05:48	24825/24825	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/	C:/temp/sites/Spy%20Lit/web/index.html	(from )
10:05:49	5430/5430	U-----	200	untouched ('')	image/x-icon	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	http://www.google.com/images/icons/product/sites-16.ico	C:/temp/sites/Spy%20Lit/web/images/sites-16.ico	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	3147/3147	U-----	200	untouched ('')	image/png	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/images/apple-touch-icon.png	C:/temp/sites/Spy%20Lit/web/images/apple-touch-icon.png	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	43/43	U-----	200	untouched ('')	image/gif	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/images/cleardot.gif	C:/temp/sites/Spy%20Lit/web/images/cleardot.gif	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	533/533	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:05:49%20GMT	https://sites.google.com/site/abyouthliturature/home/spy.png?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/spy.1c6fb5.delayed	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	42406/42406	U-----	200	untouched ('OK')	text/css	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/css/codemirror_css.css	C:/temp/sites/Spy%20Lit/web/images/codemirror_css.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	1162180/1162180	U-----	200	untouched ('')	text/javascript	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/js/trog_edit__en.js	C:/temp/sites/Spy%20Lit/web/images/trog_edit__en.js	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	8590/8590	U-----	200	untouched ('OK')	text/css	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/css/trogedit.css	C:/temp/sites/Spy%20Lit/web/images/trogedit.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:49	10006/10006	U--MC-	200	updated ('OK')	text/css	date:Tue,%2025%20Jul%202017%2014:05:50%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/editor.css	C:/temp/sites/Spy%20Lit/web/images/editor.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	192993/192993	U-----	200	untouched ('OK')	text/css	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/themes/terrarock/standard-css-terrarock-ltr-ltr.css	C:/temp/sites/Spy%20Lit/web/images/standard-css-terrarock-ltr-ltr.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	1032/1032	U-----	200	untouched ('OK')	text/css	date:Thu,%2013%20Jul%202017%2018:35:50%20GMT	https://ssl.gstatic.com/sites/p/643403/system/app/css/codeeditor.css	C:/temp/sites/Spy%20Lit/web/images/codeeditor.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	1992/1992	U--MC-	200	updated ('OK')	text/css	date:Tue,%2025%20Jul%202017%2014:05:50%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/overlay.css?cb=terrarock5a150goog-ws-nav-nosidenone30themedefaultcenter	C:/temp/sites/Spy%20Lit/web/images/overlay892c.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	4516/4516	---M--	200	added ('OK')	image/png	etag:%221500939174814%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/home/spy.png?attachauth=ANoY7cpGpxhxTbutU8cWpE0lmhVOcIqYhjrlpHMJWd1jWYykbMH4TEk4GihcMxeN9uMUbKVUgPEKVgEX1-gYOoLkqzYCOcprVF6jOaTEiDpfHCwLGtOGg-yuxmO9REhY4hcGIQTY2q865JiSBDNzcezoXlTH01DT2js-D5JTzwrv1B85_Fw-se7IBc8US3T1XDrkH8Sn5btmKXozfncSOg44jx6TLB684Q%3D%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/spy0360.png	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	2225/2225	U--MC-	200	updated ('OK')	text/css	date:Tue,%2025%20Jul%202017%2014:05:51%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1499966776000/system/app/css/camelot/allthemes-view.css	C:/temp/sites/Spy%20Lit/web/images/allthemes-view.css	(from https://sites.google.com/site/abyouthliturature/)
10:05:50	24825/24825	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/home	C:/temp/sites/Spy%20Lit/web/home.html	(from https://sites.google.com/site/abyouthliturature/)
10:05:51	26807/26807	U--MCZ	200	updated ('OK')	text/html	etag:%221500988062459|#public|0|en|||0|-2045021146|161771067%22	https://sites.google.com/site/abyouthliturature/intelligence-sources-references	C:/temp/sites/Spy%20Lit/web/intelligence-sources-references.html	(from https://sites.google.com/site/abyouthliturature/)
